,Z,N,E,S,W
0.6166666666666667,10121.304732942337,17788.304475433863,8472.685179226342,7214.151165878274,13956.204888913528
0.6333333333333333,10109.392710971004,17716.77952930903,8441.197172786073,7216.662318215435,13946.576912961658
0.65,10097.946697575697,17647.47973784006,8408.885185159745,7219.224925290515,13936.975438313111
0.6666666666666666,10086.816806787585,17581.056475007837,8375.834678970621,7221.359611518442,13927.024480586992
0.6833333333333333,10075.954047659328,17518.507990541042,8341.893021914622,7223.58114201474,13915.234179650386
0.7,10065.352172995326,17461.34378828105,8307.01898790738,7225.366678485969,13900.567374685197
0.7166666666666667,10055.101728008474,17409.859573413196,8271.342445097207,7226.754518428807,13882.511145343653
0.7333333333333333,10044.617896755208,17363.641011407693,8235.285754124892,7227.887376461882,13861.16881459885
0.75,10033.413601085407,17320.237346400263,8199.577910596587,7228.863969102189,13835.876345589642
0.7666666666666666,10020.951974119822,17275.93334569603,8164.659023161274,7229.4913933085745,13806.794892278762
0.7833333333333333,10006.942629915173,17226.403896419026,8130.776426334126,7230.112623335926,13774.620435272025
0.8,9991.353118671848,17167.722825400728,8098.04906193002,7230.917344910971,13740.606407704323
0.8166666666666667,9974.200547898112,17096.259327460673,8065.968140299252,7231.750655114506,13705.147876221936
0.8333333333333334,9956.091686753723,17010.938863112206,8034.081782160809,7233.414203972335,13668.784935280795
0.85,9937.34945659474,16912.525778882147,8001.40854440366,7235.419496022597,13631.852923739947
0.8666666666666667,9918.591076655233,16804.035564043985,7966.87203929219,7237.88947486004,13594.629834621848
0.8833333333333333,9900.450362242129,16689.36788774463,7930.013317521361,7240.711911025423,13556.846228068052
0.9,9883.150520622894,16572.965877694103,7890.398400862064,7243.938246122245,13518.446784102833
0.9166666666666666,9866.87504369427,16459.047106527614,7848.378346677175,7247.766107233733,13479.244751793121
0.9333333333333333,9851.383042194208,16350.9891172219,7804.3330891166615,7251.772141759038,13439.201207497154
0.95,9836.008519956406,16250.201604180827,7759.240928301369,7256.084362225725,13398.21879141402
0.9666666666666667,9820.69039456854,16156.619432793532,7714.092177958862,7260.503719829251,13356.208934251597
0.9833333333333333,9805.034421852748,16069.074750910293,7669.821188956551,7264.975449174415,13313.20657570923
1.0,9788.754301188508,15986.19307037672,7627.231832706119,7269.189629195747,13269.655337452787
1.0166666666666666,9771.632021963655,15906.022327575547,7586.942705266376,7273.248691779896,13226.364236185227
1.0333333333333332,9753.581893071883,15826.554130741504,7549.403325826048,7276.8905895252765,13184.08037683727
1.05,9735.420495611674,15745.900285143009,7514.728689078915,7280.650650135459,13143.778335235818
1.0666666666666667,9717.39754312527,15662.098789751863,7482.8845720426325,7284.484189290392,13106.722145047937
1.0833333333333333,9700.071724679394,15574.611387074996,7453.56549943547,7288.388890206519,13073.692091862851
1.1,9683.882333502197,15483.142013872555,7426.258787974946,7292.249640378621,13044.567028655758
1.1166666666666667,9669.192594004475,15387.342558045255,7400.482676758669,7296.460443585717,13018.822176794909
1.1333333333333333,9655.971897455656,15288.216191168185,7375.457825994985,7300.427958923805,12995.766265946482
1.15,9644.459565171499,15186.165729750417,7350.618463371226,7304.354096705547,12974.21181219369
1.1666666666666667,9634.512685319029,15082.400571614546,7325.630311874957,7307.8118217516285,12953.280489355013
