x,y,z
-90.748165,-182.867726,3.127
-86.247839,-182.868137,3.336
-81.748686,-182.867758,3.597
-92.998714,-186.764685,3.027
-88.498389,-186.765096,3.152
-83.998254,-186.764525,3.621
-95.247301,-190.661261,3.148
-90.746975,-190.661671,3.237
-86.247823,-190.661292,3.472
-97.497851,-194.558219,3.179
-92.997525,-194.55863,3.333
-88.497391,-194.558059,3.581
-83.997065,-194.55847,3.643
-99.747228,-198.455968,3.354
-95.247094,-198.455397,3.426
-90.747749,-198.455999,3.477
-86.247615,-198.455429,3.671
-81.747289,-198.455839,3.538
-97.497644,-202.352356,4.096
-92.997318,-202.352767,4.114
-88.496992,-202.353177,4.05
-83.997839,-202.352798,4.017
-95.247868,-206.249725,4.402
-90.747542,-206.250136,4.396
-86.247407,-206.249565,4.34
-144.399376,-131.726814,7.648
-139.89905,-131.727225,7.397
-135.399897,-131.726846,7.426
-146.649926,-135.623773,7.551
-142.1496,-135.624184,7.054
-137.649465,-135.623613,6.968
-133.14914,-135.624024,6.925
-148.899303,-139.521522,7.329
-144.399168,-139.520951,6.946
-139.899824,-139.521553,6.74
-135.39969,-139.520982,6.352
-130.899364,-139.521393,6.34
-146.649718,-143.417909,7.009
-142.149392,-143.41832,6.838
-137.649066,-143.418731,6.187
-133.149914,-143.418352,5.734
-144.399942,-147.315279,6.745
-139.899616,-147.31569,6.213
-135.399482,-147.315119,5.474
-160.148781,-120.036829,7.015
-155.648455,-120.03724,7.204
-151.149302,-120.036861,7.693
-162.399331,-123.933788,7.115
-157.899005,-123.934199,7.01
-153.398871,-123.933628,7.138
-148.898545,-123.934039,7.606
-164.648708,-127.831536,6.625
-160.148574,-127.830966,6.69
-155.649229,-127.831568,7.079
-151.149095,-127.830997,7.353
-146.648769,-127.831408,7.561
-162.399123,-131.727924,7.305
-157.898798,-131.728335,7.075
-153.398472,-131.728746,7.222
-148.899319,-131.728367,7.326
-160.149347,-135.625294,7.176
-155.649022,-135.625704,7.061
-151.148887,-135.625134,7.476
-162.397934,-139.521869,7.224
-157.897608,-139.52228,7.181
-153.398456,-139.521901,7.49
-164.648484,-143.418828,6.915
-160.148158,-143.419239,6.798
-155.648024,-143.418668,7.165
-151.147698,-143.419079,7.208
-166.897861,-147.316577,6.549
-162.397727,-147.316006,6.743
-157.898382,-147.316608,6.874
-153.398248,-147.316037,6.996
-148.897922,-147.316448,6.792
-164.648277,-151.212964,6.476
-160.147951,-151.213375,6.607
-155.647625,-151.213786,6.768
-151.148472,-151.213407,6.625
-162.398501,-155.110334,6.24
-157.898175,-155.110745,6.683
-153.39804,-155.110174,6.213
-178.14734,-127.831884,7.42
-173.647014,-127.832295,7.544
-169.147861,-127.831916,7.125
-180.39789,-131.728843,7.559
-175.897564,-131.729254,7.587
-171.397429,-131.728683,6.94
-166.897103,-131.729094,7.097
-182.647266,-135.626591,7.539
-178.147132,-135.626021,7.302
-173.647788,-135.626623,7.32
-169.147653,-135.626052,6.77
-164.647327,-135.626463,6.985
-180.397682,-139.522979,7.047
-175.897356,-139.52339,6.889
-171.39703,-139.523801,6.717
-166.897877,-139.523422,7.065
-178.147906,-143.420349,6.455
-173.64758,-143.420759,6.709
-169.147446,-143.420189,6.9
-196.145898,-135.626939,6.157
-191.645572,-135.62735,5.899
-187.146419,-135.626971,6.134
-198.396448,-139.523898,5.673
-193.896122,-139.524308,5.743
-189.395988,-139.523738,5.914
-184.895662,-139.524149,5.818
-200.645825,-143.421646,5.45
-196.145691,-143.421076,5.546
-191.646346,-143.421678,5.648
-187.146212,-143.421107,5.885
-182.645886,-143.421518,5.753
-198.39624,-147.318034,5.498
-193.895915,-147.318445,5.642
-189.395589,-147.318856,5.683
-184.896436,-147.318477,5.826
-196.146464,-151.215404,5.616
-191.646139,-151.215814,5.586
-187.146004,-151.215244,5.67
-193.896745,-116.141899,6.516
-189.396419,-116.14231,6.857
-184.897266,-116.14193,7.006
-196.147295,-120.038858,6.639
-191.646969,-120.039268,7.038
-187.146835,-120.038698,7.437
-182.646509,-120.039108,7.356
-198.396672,-123.936606,7.221
-193.896537,-123.936035,7.178
-189.397193,-123.936638,7.792
-184.897059,-123.936067,7.381
-180.396733,-123.936478,7.899
-196.147087,-127.832994,7.461
-191.646761,-127.833405,7.569
-187.146435,-127.833816,7.927
-182.647283,-127.833436,7.716
-193.897311,-131.730363,7.703
-189.396985,-131.730774,7.599
-184.896851,-131.730203,7.636
